40 619
1 2 524.842396
1 3 1237.767880
1 4 2279.052363
1 5 605.140014
1 7 2318.796987
1 8 1814.449489
1 9 4757.190808
1 10 2545.758256
1 11 1097.642389
1 12 2941.330128
1 15 1424.373172
1 16 2567.399211
1 19 2290.148053
1 20 4133.244082
1 21 1976.808823
1 23 1790.323871
1 24 4116.550937
1 26 2585.441855
1 27 665.251317
1 28 1713.774978
1 29 1398.932114
1 31 2045.318696
1 32 981.738242
1 34 2562.889028
1 35 5446.072237
1 36 2257.401579
1 37 2378.415409
1 38 2390.647733
1 40 5370.789983
2 3 1594.151436
2 4 1991.563037
2 5 747.563239
2 6 2452.540021
2 7 1879.579952
2 8 1442.356434
2 9 5090.742753
2 10 2363.783808
2 11 611.754910
2 12 2711.830839
2 13 1733.833354
2 14 5958.184403
2 15 1848.190837
2 16 2053.806551
2 17 2091.354523
2 18 1402.589091
2 19 2069.484313
2 20 4414.064147
2 21 1516.696011
2 22 1350.004622
2 24 4185.994075
2 26 2192.534460
2 27 539.439028
2 29 1409.991206
2 30 720.471555
2 32 483.853978
2 33 2548.561204
2 34 2059.158989
2 36 1938.617277
2 37 1855.447480
2 38 1868.609928
2 39 2106.567191
3 4 3514.299541
3 6 4024.918977
3 7 3472.907015
3 8 3020.060705
3 10 2211.999049
3 11 1892.565211
3 12 2666.025920
3 13 2321.569017
3 15 366.360115
3 16 3268.935412
3 17 3637.365520
3 18 2996.454863
3 19 2100.947730
3 21 2500.081152
3 23 1461.756536
3 24 3112.498595
3 26 3781.551457
3 28 2945.002411
3 29 998.269913
3 31 1966.917300
3 32 1841.866391
3 33 3713.154570
3 34 3201.786422
3 36 3486.344279
3 37 3184.744898
3 38 3319.858908
3 39 3689.224270
3 40 4168.103092
4 5 2731.624117
4 7 863.183131
4 8 639.691306
4 10 4074.698005
4 11 2114.582954
4 12 4304.485434
4 14 7869.513550
4 15 3692.391460
4 17 183.917560
4 19 3744.903774
4 21 2628.743667
4 22 2661.682929
4 23 3556.586895
4 24 6125.589088
4 25 4869.614076
4 26 649.893955
4 27 1614.017495
4 28 575.875736
4 29 3372.754126
4 30 1320.287980
4 31 3475.534440
4 32 2045.189100
4 34 2635.146877
4 35 7725.121785
4 36 158.745267
4 37 2164.895732
4 38 1821.279924
4 39 509.910754
5 7 2606.254887
5 8 2189.732159
5 9 4346.723022
5 11 1017.722513
5 12 2396.681073
5 13 1699.090418
5 14 5221.843357
5 15 1191.192887
5 16 2447.921651
5 17 2836.662807
5 19 1751.850962
5 20 3666.750404
5 21 1730.327277
5 22 1491.920907
5 23 1205.634298
5 24 3525.589283
5 25 2201.410632
5 26 2935.344221
5 27 1173.110744
5 28 2155.757971
5 29 794.501399
5 30 1464.792744
5 31 1529.285158
5 33 2914.966408
5 34 2402.013890
5 35 5047.089303
5 37 2331.527176
5 38 2442.870541
5 39 2852.498992
5 40 4855.358739
6 9 7539.648087
6 10 4321.613018
6 11 2445.772043
6 14 8394.047584
6 16 2455.135837
6 17 444.173748
6 18 1140.053865
6 19 3989.282160
6 20 6864.844107
6 23 3891.504277
6 25 5262.831134
6 26 359.192980
6 27 2151.086521
6 28 1104.972971
6 29 3770.633097
6 32 2404.098331
6 33 2739.175886
6 34 2616.150383
6 35 8235.820759
6 37 2137.331151
6 39 366.492901
7 10 3546.987484
7 11 1740.063300
7 12 3707.926023
7 13 2537.742433
7 14 7827.900248
7 15 3722.111700
7 16 1689.908779
7 17 760.168688
7 18 477.702082
7 20 6233.149496
7 22 2081.745335
7 23 3160.784841
7 24 5731.071025
7 25 4562.074221
7 26 435.338501
7 27 1725.195980
7 28 879.603048
7 30 1171.619186
7 32 1722.571240
7 34 1843.471953
7 36 704.514027
7 37 1363.889394
7 38 990.294215
7 39 462.620826
7 40 7335.020743
8 10 3436.134684
8 11 1486.014596
8 13 2502.245015
8 14 7390.013674
8 15 3237.483475
8 16 1950.476560
8 17 680.607668
8 18 337.512555
8 19 3105.957032
8 20 5854.998782
8 21 2000.055576
8 23 2934.230527
8 24 5509.983857
8 25 4274.485487
8 26 772.209004
8 27 1178.464022
8 30 729.824848
8 31 2837.135624
8 32 1425.881408
8 34 2071.915755
8 36 533.786198
8 37 1621.728276
8 38 1329.096617
8 39 669.747706
8 40 7013.481961
9 10 4256.160850
9 11 5248.082103
9 12 4544.965155
9 13 5084.657572
9 14 954.480060
9 16 6332.627881
9 19 4441.609030
9 20 864.413134
9 21 5524.089876
9 22 5283.442600
9 23 4061.431918
9 24 2598.641352
9 25 2723.550703
9 26 7282.011338
9 29 3930.586876
9 30 5810.631308
9 31 4535.379391
9 32 5238.486777
9 33 6660.009898
9 34 6207.017738
9 35 706.447325
9 37 6367.130354
9 38 6607.038399
9 39 7197.182597
9 40 1430.441897
10 11 1982.679611
10 12 454.488985
10 13 1045.647874
10 14 5210.587140
10 15 2550.708258
10 16 2299.522240
10 17 4104.490432
10 18 3199.212556
10 19 332.381393
10 20 3401.921784
10 21 1609.301932
10 22 1467.136719
10 23 790.523835
10 26 3975.687758
10 31 599.262900
10 32 2078.701845
10 33 2505.962689
10 34 2138.528378
10 35 4931.235348
10 36 3965.523960
10 37 2458.336302
10 38 2809.470671
10 39 3958.903695
10 40 4139.965898
11 12 2267.558868
11 13 1186.656743
11 14 6152.417812
11 15 2208.892579
11 16 1479.073297
11 18 1308.020723
11 19 1660.610450
11 21 906.379389
11 23 1449.967152
11 25 2824.554250
11 26 2129.716811
11 27 1055.377139
11 28 1581.643245
11 29 1350.096698
11 30 824.091323
11 31 1387.015070
11 32 132.397977
11 33 1967.017446
11 35 5953.965448
11 36 2019.718347
11 37 1324.519672
11 38 1427.331218
11 39 2080.060054
12 13 1172.914227
12 14 5496.140417
12 15 3005.180645
12 16 2299.426886
12 17 4317.002422
12 18 3402.025265
12 19 651.381788
12 20 3682.307294
12 21 1725.690373
12 22 1645.211540
12 23 1231.362435
12 24 2381.032957
12 26 4142.365118
12 27 3246.438898
12 28 3818.254994
12 29 1711.121045
12 32 2376.932922
12 33 2416.665364
12 34 2126.700094
12 36 4184.798747
12 37 2510.490790
12 38 2887.332802
12 39 4140.456192
12 40 4299.084654
13 14 6032.814347
13 16 1284.154304
13 17 3146.730506
13 18 2231.079299
13 20 4259.033671
13 22 478.961638
13 23 1045.553529
13 24 3328.814703
13 25 2395.439280
13 26 2971.438760
13 27 2232.600883
13 28 2671.366855
13 29 1364.633577
13 30 1962.994931
13 31 554.951308
13 32 1312.361989
13 33 1575.537423
13 34 1137.943155
13 35 5780.458768
13 36 3016.499175
13 38 1763.966102
13 40 5123.647517
14 15 4178.611737
14 16 7273.865763
14 17 8000.181547
14 18 7354.929612
14 19 5395.038936
14 20 1813.865783
14 23 5004.389456
14 25 3677.930423
14 26 8149.914860
14 27 6256.500916
14 28 7306.841015
14 31 5485.176584
14 32 6135.493496
14 34 7151.067610
14 35 355.239450
14 36 7850.340428
14 37 7299.555443
14 39 8059.078373
14 40 1898.350918
15 17 3826.802083
15 19 2455.472805
15 20 2821.262663
15 21 2855.244919
15 23 1816.443631
15 24 3247.003387
15 25 1941.534464
15 27 2082.270193
15 28 3134.017688
15 30 2551.567682
15 31 2329.401960
15 32 2146.667105
15 34 3552.756182
15 35 4046.441431
15 36 3678.287690
15 37 3517.203191
15 38 3633.392585
15 39 3906.587456
15 40 4133.037866
16 17 2432.864100
