57 837 
1 2 654.037784
1 3 348.865297
1 9 362.561494
1 10 231.308325
1 11 35.244745
1 13 1168.582061
1 14 1368.791971
1 17 453.502050
1 19 311.003576
1 20 1852.753338
1 21 1298.358091
1 22 300.339036
1 23 917.205597
1 24 913.130943
1 26 792.912226
1 27 176.215448
1 28 861.246530
1 30 343.161149
1 31 729.569068
1 33 751.613232
1 34 526.255631
1 36 496.946515
1 37 847.964303
1 39 416.849911
1 40 2040.560989
1 42 100.335641
1 43 2528.988669
1 45 542.626294
1 46 1826.612817
1 47 2580.071029
1 48 2480.718151
1 49 2183.355632
1 51 767.306219
1 55 955.785000
2 3 683.151776
2 6 1092.457385
2 7 845.172493
2 13 848.265015
2 16 738.771634
2 19 738.314663
2 21 850.194556
2 23 413.101363
2 24 318.874999
2 25 673.411318
2 26 820.648701
2 29 2293.192074
2 30 411.066036
2 32 839.042838
2 34 264.343068
2 35 501.470974
2 36 863.297952
2 38 689.978734
2 39 773.814863
2 40 1871.587233
2 41 1400.775171
2 42 652.416756
2 43 2695.256251
2 45 562.765401
2 48 2697.986669
2 49 2423.701510
2 50 622.682204
2 53 675.350539
2 57 926.689192
3 4 810.221215
3 7 317.010081
3 9 704.865913
3 11 364.938017
3 17 693.555591
3 20 2201.290762
3 21 1477.929991
3 22 596.467966
3 23 1053.525091
3 24 832.874983
3 25 959.112337
3 27 520.965162
3 33 1099.659233
3 36 191.107301
3 37 1184.966066
3 38 791.545761
3 39 95.839820
3 41 1488.242288
3 43 2877.489915
3 51 1043.212516
3 52 1006.194416
3 53 470.680512
3 55 1226.980276
3 56 39.247602
4 7 927.783032
4 8 1340.599248
4 10 511.628574
4 11 748.314576
4 12 602.052256
4 13 683.154628
4 14 1278.630807
4 16 778.720160
4 18 633.882378
4 21 689.840756
4 22 527.937381
4 23 252.483881
4 24 421.782125
4 25 570.452203
4 26 705.761204
4 29 2132.220586
4 32 815.324716
4 33 1059.549563
4 35 370.512067
4 36 996.840196
4 37 901.795327
4 39 904.191323
4 40 1708.758688
4 41 1305.857007
4 43 2565.291755
4 44 587.586323
4 45 482.514001
