57 1000 
1 4 725.000000
1 5 1215.000000
1 8 1325.000000
1 9 372.000000
1 13 1175.000000
1 14 1371.000000
1 16 190.000000
1 17 462.000000
1 18 202.000000
1 22 294.000000
1 24 929.000000
1 25 660.000000
1 26 789.000000
1 28 878.000000
1 30 338.000000
1 31 739.000000
1 32 463.000000
1 33 784.000000
1 34 520.000000
1 35 1079.000000
1 37 832.000000
1 39 410.000000
1 40 2024.000000
1 43 2532.000000
1 45 532.000000
1 46 1783.000000
1 47 2545.000000
1 49 2168.000000
1 50 478.000000
1 51 753.000000
1 54 852.000000
1 55 934.000000
2 4 152.000000
2 5 1537.000000
2 6 1080.000000
2 7 886.000000
2 8 1494.000000
2 9 694.000000
2 10 454.000000
2 12 560.000000
2 13 810.000000
2 14 1435.000000
2 17 417.000000
2 23 399.000000
2 24 316.000000
2 25 685.000000
2 27 735.000000
2 29 2229.000000
2 30 396.000000
2 31 406.000000
2 32 785.000000
2 33 1106.000000
2 35 506.000000
2 38 702.000000
2 40 1839.000000
2 42 714.000000
2 43 2701.000000
2 46 1942.000000
2 47 2573.000000
2 48 2709.000000
2 50 629.000000
2 51 690.000000
2 52 467.000000
2 53 652.000000
2 54 897.000000
2 56 637.000000
2 57 938.000000
3 4 827.000000
3 5 1547.000000
3 6 405.000000
3 7 364.000000
3 8 1660.000000
3 9 704.000000
3 10 518.000000
3 11 355.000000
3 15 1032.000000
3 16 522.000000
3 18 537.000000
3 19 80.000000
3 20 2178.000000
3 21 1503.000000
3 24 793.000000
3 27 569.000000
3 29 2708.000000
3 33 1116.000000
3 36 189.000000
3 37 1167.000000
3 38 779.000000
3 41 1509.000000
3 42 230.000000
3 43 2864.000000
3 44 301.000000
3 45 823.000000
3 47 2880.000000
3 48 2788.000000
3 49 2500.000000
3 52 993.000000
3 53 465.000000
3 54 1151.000000
3 55 1225.000000
3 56 38.000000
3 57 1290.000000
4 5 1470.000000
4 9 657.000000
4 12 604.000000
4 14 1294.000000
4 17 365.000000
4 18 605.000000
4 20 1989.000000
4 22 501.000000
4 24 430.000000
